update,Total Number of Messages Count,Total Number of Self IDs sent Count,Total Number of Real Ids sent Count,Total Number of Highest IDs sent Count
19300,9.86026e+06,5328,9.85896e+06,4392
19400,9.93146e+06,5328,9.93017e+06,4392
19500,1.00042e+07,5544,1.00029e+07,4392
19600,1.00773e+07,5616,1.0076e+07,4392
19700,1.01524e+07,5616,1.01511e+07,4464
19800,1.02257e+07,5688,1.02244e+07,4536
19900,1.04439e+07,5767,1.04426e+07,4672
20000,1.05202e+07,5767,1.05189e+07,4672
20100,1.05994e+07,5767,1.05981e+07,4745
20200,1.06754e+07,5767,1.06741e+07,4745
20300,1.07567e+07,5767,1.07554e+07,4745
20400,1.08329e+07,5840,1.08316e+07,4745
20500,1.09127e+07,5840,1.09114e+07,4818
20600,1.09924e+07,5840,1.09911e+07,4891
20700,1.10707e+07,5840,1.10694e+07,4964
20800,1.1149e+07,5840,1.11477e+07,4964
20900,1.12291e+07,6059,1.12278e+07,4964
21000,1.13065e+07,6132,1.13051e+07,4964
21100,1.1383e+07,6132,1.13817e+07,5037
21200,1.14605e+07,6205,1.14592e+07,5037
21300,1.15397e+07,6205,1.15384e+07,5037
21400,1.16172e+07,6278,1.16159e+07,5037
21500,1.16965e+07,6278,1.16952e+07,5037
21600,1.17745e+07,6278,1.17731e+07,5037
21700,1.18534e+07,6278,1.18521e+07,5037
21800,1.19316e+07,6278,1.19303e+07,5037
21900,1.20089e+07,6351,1.20076e+07,5037
22000,1.20857e+07,6351,1.20844e+07,5110
22100,1.21657e+07,6351,1.21644e+07,5110
22200,1.24125e+07,6512,1.24111e+07,5328
22300,1.2664e+07,6600,1.26626e+07,5475
22400,1.2752e+07,6675,1.27507e+07,5550
22500,1.28399e+07,6675,1.28386e+07,5550
22600,1.2929e+07,6675,1.29277e+07,5625
22700,1.30186e+07,6675,1.30173e+07,5700
22800,1.3109e+07,6750,1.31077e+07,5700
22900,1.31995e+07,6750,1.31981e+07,5775
23000,1.32909e+07,6750,1.32896e+07,5775
23100,1.33802e+07,6825,1.33789e+07,5775
23200,1.34686e+07,6825,1.34673e+07,5775
23300,1.35578e+07,6900,1.35564e+07,5775
23400,1.36499e+07,6900,1.36486e+07,5775
23500,1.37392e+07,7050,1.37378e+07,5775
23600,1.38305e+07,7050,1.38292e+07,5850
23700,1.39183e+07,7050,1.39169e+07,5925
23800,1.40087e+07,7050,1.40074e+07,5925
23900,1.40985e+07,7200,1.40972e+07,6075
24000,1.41866e+07,7275,1.41852e+07,6075
24100,1.42752e+07,7275,1.42738e+07,6075
24200,1.43638e+07,7275,1.43624e+07,6150
24300,1.44490e+07,7275,1.44477e+07,6150
24400,1.45390e+07,7350,1.45377e+07,6225
24500,1.46291e+07,7425,1.46278e+07,6225
24600,1.47206e+07,7425,1.47193e+07,6225
24700,1.48105e+07,7425,1.48091e+07,6225
24800,1.48987e+07,7425,1.48973e+07,6375
24900,1.49852e+07,7575,1.49839e+07,6450
25000,1.50804e+07,7575,1.50790e+07,6525
25100,1.538e+07,7752,1.53786e+07,6764
25200,1.54798e+07,7828,1.54784e+07,6764
25300,1.55798e+07,7828,1.55785e+07,6916
25400,1.56786e+07,7904,1.56773e+07,6992
25500,1.5777e+07,7904,1.57756e+07,7068
25600,1.5874e+07,7904,1.58727e+07,7068
25700,1.59766e+07,7980,1.59753e+07,7144
25800,1.60764e+07,7980,1.6075e+07,7144
25900,1.61783e+07,8132,1.61769e+07,7220
26000,1.62806e+07,8132,1.62792e+07,7220
26100,1.63804e+07,8208,1.6379e+07,7296
26200,1.64826e+07,8284,1.64812e+07,7372
26300,1.6582e+07,8284,1.65806e+07,7448
26400,1.66828e+07,8284,1.66815e+07,7524
26500,1.67832e+07,8360,1.67818e+07,7524
26600,1.68843e+07,8360,1.68829e+07,7600
26700,1.69822e+07,8512,1.69808e+07,7600
26800,1.70816e+07,8588,1.70802e+07,7676
26900,1.71784e+07,8664,1.71771e+07,7676
27000,1.72739e+07,8816,1.72725e+07,7676
27100,1.75996e+07,8932,1.75982e+07,7777
27200,1.77021e+07,8932,1.77008e+07,8085
27300,1.78062e+07,8932,1.78048e+07,8085
27400,1.79098e+07,9009,1.79084e+07,8085
27500,1.80101e+07,9009,1.80087e+07,8085
27600,1.81132e+07,9009,1.81118e+07,8085
27700,1.82151e+07,9086,1.82137e+07,8162
27800,1.83161e+07,9163,1.83147e+07,8162
27900,1.84173e+07,9240,1.84159e+07,8162
28000,1.85224e+07,9240,1.8521e+07,8162
28100,1.86233e+07,9317,1.86219e+07,8162
28200,1.87257e+07,9394,1.87243e+07,8162
28300,1.88276e+07,9394,1.88262e+07,8239
28400,1.89298e+07,9548,1.89284e+07,8239
28500,1.90309e+07,9548,1.90295e+07,8316
